var_index,gene,bin
1013,ATP11A,18
1014,POLR1A,21
1015,LAPTM4A,17
1016,TTC7A,20
1017,IP6K2,17
1018,SRBD1,14
1019,KIF2A,24
1020,RASGRP2,20
1021,PSME4,22
1022,IFT80,14
1023,SIRT2,18
1024,ERLEC1,22
1025,PPP2R5B,14
1026,PYGM,10
1027,PAGE1,0
1028,PITX1,9
1029,TRPC7,0
1030,MAST4,18
1031,ADGRF5,1
1032,SDK2,9
1033,ADAM7,2
1034,NUP133,21
1035,NUCKS1,24
1036,VPS35,20
1037,DNAJA2,22
1038,BCL3,23
1039,KCNAB2,24
1040,ABCC9,3
1041,GAL,9
1042,CLEC2D,24
1043,FUNDC1,17
1044,MAOB,4
1045,RORA,18
1046,DRD4,8
1047,TGFBR3,17
1048,PLA2G10,4
1049,HES2,7
1050,ATP1B3,22
1051,NEDD4,14
1052,PIGB,14
1053,MAPK6,24
1054,GNB5,17
1055,RAB27A,24
1056,HDHD5,17
1057,UFD1,20
1058,LRP6,9
1059,GUCY2C,3
1060,SCT,5
1061,PHRF1,18
1062,ELP1,17
1063,NUCB2,15
1064,PFN2,11
1065,PTPN3,11
1066,SPTB,6
1067,DAPP1,19
1068,FGF10,1
1069,SLC44A1,10
1070,TMEM260,15
1071,SMG6,16
1072,EXOC5,21
1073,CLTCL1,9
1074,FGF22,6
1075,FSTL3,11
1076,DGCR2,13
1077,RNF126,18
1078,ZXDC,18
1079,JMJD6,21
1080,POLB,19
1081,ST6GALNAC1,9
1082,WIPI1,17
1083,FRMPD1,4
1084,GBA2,17
1085,NDST1,10
1086,AP3M2,22
1087,ST6GALNAC2,5
1088,CHAT,7
1089,TESK2,11
1090,CFAP20,19
1091,CSNK2A2,20
1092,PTPN21,7
1093,EIF2B3,19
1094,CAMK2A,4
1095,TCOF1,23
1096,OSBPL3,19
1097,EPHA8,5
1098,SLC12A3,5
1099,RAD18,18
1100,ATP2B1,17
1101,TRPM5,4
1102,NCK2,16
1103,MAP4K4,23
1104,MGAT4A,22
1105,WDR1,14
1106,SNX13,19
1107,MS4A12,0
1108,ARHGAP10,14
1109,ING3,16
1110,VASH1,11
1111,LMCD1,10
1112,BUD23,21
1113,SEL1L,21
1114,TRIP13,19
1115,ATP6AP1,18
1116,TCF3,19
1117,TRIB2,20
1118,DAZAP1,23
1119,MBD3,19
1120,PRLH,0
1121,HLTF,15
1122,FAM50A,23
1123,FAM3A,15
1124,CPSF1,16
1125,MYO3B,11
1126,CYBRD1,11
1127,CDH19,0
1128,PDCD2,14
1129,SLC6A15,6
1130,RDH11,20
1131,PRKACA,22
1132,ADGRL1,11
1133,SPP2,0
1134,ACTN1,17
1135,ZFYVE26,13
1136,EPN2,11
1137,PTPN18,13
1138,LIMS2,13
1139,ASIC4,7
1140,SPEG,6
1141,LNX1,0
1142,ALDH3A2,18
1143,TFRC,24
1144,SREBF1,20
1145,TRPC5,2
1146,AFF4,21
1147,UBE2D1,15
1148,PALS1,14
1149,RHOBTB1,7
1150,SMC1A,24
1151,HSD17B10,22
1152,MARK2,21
1153,HMMR,20
1154,CHFR,16
1155,TRHDE,1
1156,P4HA2,15
1157,FCGR2B,5
1158,NFATC3,24
1159,TRNT1,19
1160,ACADVL,23
1161,STK10,23
1162,FBXW11,16
1163,ACAP1,23
1164,CRMP1,8
1165,EVC,10
1166,DERL2,20
1167,SIDT1,15
1168,NDE1,23
1169,IRAG1,5
1170,TMEM38A,9
1171,AP1M1,23
1172,PVR,12
1173,XRCC1,16
1174,SCARB1,14
1175,CYP2W1,5
1176,MCM2,23
1177,MOV10L1,5
1178,PANX2,11
1179,SELENOO,16
1180,TP63,11
1181,ALPK1,11
1182,LLGL2,12
1183,PDE8A,12
1184,CLCN4,6
1185,NLE1,15
1186,SDHA,15
1187,SMARCE1,22
1188,FNDC8,7
1189,GSDMB,17
1190,KDM5A,18
1191,ADAM11,7
1192,PPP2R3A,8
1193,FERMT2,9
1194,ABCB11,3
1195,DHRS9,8
1196,CD5L,4
1197,PTGS2,12
1198,IGF2BP2,8
1199,MAP3K13,17
1200,ST6GAL1,23
1201,TBX21,21
1202,FRY,11
1203,PICALM,24
1204,NSF,20
1205,GLI2,7
1206,CLASP1,17
1207,NOTCH3,5
1208,CLNS1A,20
1209,PPP2R2C,7
1210,TEAD2,3
1211,EED,23
1212,CDHR2,7
1213,SNCB,6
1214,TSG101,21
1215,NCBP3,19
1216,ATP2A3,22
1217,CA12,10
1218,MGLL,9
